CID,IsomericSMILES,Descriptors,MolecularWeight,Descriptor Count
20098061,C=CCCC(=O)OC1CCCCC1,fruity,182.130679816,1
20158044,CSCC1=CSC=C1,savory,144.006742256,1
20183924,C/C=C(\C)/C(=O)OC1CCCCC1,alcohol;herbal;fruity,182.130679816,3
20224800,CCC(C)CCCCCCC=O,flower;aquatic;fruity;green,170.167065324,4
20239946,CC1CC(C=CC1C)C=O,green,138.104465068,1
20268659,CC1C=CC2(O1)C=C(CCC2C(C)C)C,fruity,206.167065324,1
20268662,CC1CC=C(C2(C1(C)C)C=CC(O2)C)C,herbal;fruity,206.167065324,2
20279352,CCOCC(=O)OCC1=CC=CC=C1,fruity;flower,194.094294308,2
20307640,CC1CC=CCC12COC(OC2)(C)C,herbal;fruity,196.14632988,2
20307658,CC1CC=CCC12COC(OC2)C,herbal;green,182.130679816,2
20313890,CC1=C(C=CO1)SSC2CCCCC2,savory,228.064257132,1
20314017,CCC#CC(=O)C(OC)OC,herbal;earthy,156.078644244,2
20330071,CCCCC(C)(CC)C(=O)OCC,aquatic;herbal;fruity,186.161979944,3
20332432,CC1=C(C(CCC1)(C)C)C(=O)CC(C)SC,savory;herbal;fruity,240.154786388,3
20348182,CC(=O)CC1C2CCC(C2)C1(C)C,fruity;woody,180.15141526,2
20362516,CC1=CC(CS1)S,savory,132.006742256,1
20372966,CCCCCC(C(CCCC)S)O,herbal;fruity,204.154786388,2
20372968,CCCCCC(=O)C(CCCC)S,herbal;fruity,202.139136324,2
20380713,CCCCCCCCC1CCOC1=O,animal;fruity;green,198.161979944,3
20381858,CSC/C(=C\C1=CC=CC=C1)/C=O,savory;green,192.060886004,2
20442793,CC1CC(C(O1)C)S,savory,132.060886004,1
20473563,CC(C)(C)C(CC/C=C/C=C)O,savory;herbal;fruity;earthy,168.15141526,4
20514321,CCCCCC1OCCC(S1)CCC,savory;fruity,216.154786388,2
20519097,CCCCC(C(CCC)S)O,fruity;green,176.12348626,2
20519098,CCCCC(=O)C(CCC)S,herbal;fruity;green,174.107836196,3
20519099,CC(C)CC(=O)C(C(C)C)S,fruity;green,174.107836196,2
20523393,CC(CC=O)C1CCC(CC1)(C)O,flower,184.14632988,1
20538510,C1CCCCCCOC(=O)OCCCCCC1,animal,242.188194692,1
20560352,CCC(=O)C1=NC(=CS1)C,fruity;green,155.040484908,2
20560364,CCC(C)C(=O)OCC1=CC=CO1,fruity,182.094294308,1
20561535,CC1=CCC(CC1)C(CC=C)O,spices;green,166.135765196,2
20561537,CC1CC2(CCC1C(O2)C(C)C)C,aquatic;herbal;green,182.167065324,3
20561539,CC1CC(=CCC1C(CC=C)O)C,green;herbal;fruity;flower;spices,180.15141526,5
20565975,CCC(CC)(CC)C(=O)NC(C)(C)CO,aquatic,215.18852904,1
20569373,CC(=CC1(CCCC1)O)C,herbal;flower,140.120115132,2
20656016,CCOC(=O)C(C)C(C)S,fruity,162.071450688,1
20729637,CCOCOCCC1=CC=CC=C1,green;flower,180.115029752,2
20831761,CCC/C=C(/C#N)\C1=CC=CC=C1,flower;aquatic;herbal;green,171.104799416,4
20831778,CC1=C(C(=CC=C1)C(C)C=O)C,savory;fruity,162.104465068,2
20831812,C/C=C\C1=CC(=C(C=C1)OC=O)OC,green;flower,192.078644244,2
