CID,IsomericSMILES,Descriptors,MolecularWeight,Descriptor Count
7304,CN1C=CC=C1,animal;wood;smoky;tarry;herb,81.057849224,5
7334,CCOC(=O)C1C(C1(C)C)C=C(C)C,green;floral;ether;jasmine;wine;herb;spice,196.14632988,7
7341,CCCC(C)C(=O)O,acid;sour;oil;caramel;herb,116.083729624,5
7343,CCOC(=O)C(=C)C,herb;gasoline,114.06807956,2
7344,CCOC(=O)C(C)O,buttery;ether,118.06299418,2
7351,CC(C)COC(=O)C(C)C,pineapple;ether;fruit,144.115029752,3
7353,CCCCOC(=O)C(C)C,pineapple;apple;banana;fruit,144.115029752,4
7354,CCCCOC(=O)C(=C)C,herb;ether;gasoline;wine,142.099379688,4
7359,CCC(CC)C=O,oil;caramel,100.088815004,2
7360,C1CC(OC1)CO,oil;caramel,102.06807956,2
7361,C1=COC(=C1)CO,oil,98.036779432,1
7362,C1=COC(=C1)C=O,caramel;almond,96.021129368,2
7363,C1=COC(=C1)CS,caramel,114.013935812,1
7366,CC(C)(C)C1=CC=CC=C1,camphor;earthy;aromatic,134.109550448,3
7391,CC(C)(C)C1CCC(CC1)O,camphor;wood;tarry;leather,156.15141526,4
7392,CC(C)(C)C1CCC(=O)CC1,camphor;wood;mint,154.135765196,3
7393,CC(C)(C)C1=CC=C(C=C1)O,phenol;leather,150.104465068,2
7406,CC(C)C1=CC=CC=C1,green,120.093900384,1
7409,CC(C1=CC=CC=C1)O,lilac;green;mimosa;earthy;floral;jasmine,122.07316494,6
7410,CC(=O)C1=CC=CC=C1,animal;floral;orange-blossom,120.057514876,3
7413,C1CCC(CC1)C(=O)O,fruit,128.083729624,1
7416,C1=CC=C(C=C1)[N+](=O)[O-],almond,123.0320284,1
7438,CC1=CCC(CC1O)C(=C)C,mint,152.120115132,1
7439,CC1=CCC(CC1=O)C(=C)C,herb;floral;spice,150.104465068,3
7439,CC1=CCC(CC1=O)C(=C)C,herb;floral;mint;spice,150.104465068,4
7455,CC1=CC=C(C=C1)C(=O)OC,anise;floral,150.06807956,2
7459,CC1CCC(CC1)C(C)C,gasoline,140.15650064,1
7460,CC1=CCC(C=C1)C(C)C,citrus;wood;mint;peppery,136.125200512,4
7461,CC1=CCC(=CC1)C(C)C,citrus;herb,136.125200512,2
7462,CC1=CC=C(CC1)C(C)C,citrus,136.125200512,1
7463,CC1=CC=C(C=C1)C(C)C,citrus;gasoline,134.109550448,2
7465,CC(C)C1=CC=C(C=C1)O,medicine;wood;spice,136.088815004,3
7469,CC(=O)C1=CC=C(C=C1)O,herb;wood;floral;hay,136.052429496,4
7476,CC(=O)C1=CC=C(C=C1)OC,animal;floral;hay;mimosa,150.06807956,4
7499,C=CC1CCC=CC1,ether,108.093900384,1
7500,CCC1=CC=CC=C1,gasoline;hyacinth,106.07825032,2
7501,C=CC1=CC=CC=C1,floral;gasoline;balsamic,104.062600256,3
7507,C1CCC(CC1)CO,camphor;mint;musk,114.104465068,3
7519,COC1=CC=CC=C1,anise,108.057514876,1
7528,CC1(OCC(O1)CO)C,earthy;musk,132.078644244,2
7531,CC(C)(CC1=CC=CC=C1)O,lilac;animal;wood;floral;herb,150.104465068,5
7559,COC(=O)CC1=CC=CC=C1,honey;floral;musk;jasmine,150.06807956,4
7562,C1COC(O1)CC2=CC=CC=C2,leaf;rose,164.083729624,2
7580,C1=CC=C(C=C1)CC2=CC=CC=C2,orange-blossom;leaf;metal,168.093900384,3
7581,C1=CC=C(C=C1)CC2=CC=CC=N2,herb;green,169.089149352,2
7583,C1=CC=C(C=C1)OC2=CC=CC=C2,floral;geranium;green;metal,170.07316494,4
7584,CCCCCC(=CC1=CC=CC=C1)CO,floral;oil;wax,204.15141526,3
